RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport
2,Monaco,Monte-Carlo,,1955-05-22 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1955-05-20 00:00:00,Practice 2,,1955-05-20 00:00:00,Practice 3,,1955-05-21 00:00:00,Qualifying,,1955-05-21 00:00:00,Race,,1955-05-22 00:00:00,False
3,USA,Indianapolis,,1955-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1955-05-28 00:00:00,Practice 2,,1955-05-28 00:00:00,Practice 3,,1955-05-29 00:00:00,Qualifying,,1955-05-29 00:00:00,Race,,1955-05-30 00:00:00,False
4,Belgium,Spa,,1955-06-05 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1955-06-03 00:00:00,Practice 2,,1955-06-03 00:00:00,Practice 3,,1955-06-04 00:00:00,Qualifying,,1955-06-04 00:00:00,Race,,1955-06-05 00:00:00,False
5,Netherlands,Zandvoort,,1955-06-19 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1955-06-17 00:00:00,Practice 2,,1955-06-17 00:00:00,Practice 3,,1955-06-18 00:00:00,Qualifying,,1955-06-18 00:00:00,Race,,1955-06-19 00:00:00,False
6,UK,Liverpool,,1955-07-16 00:00:00,British Grand Prix,conventional,Practice 1,,1955-07-14 00:00:00,Practice 2,,1955-07-14 00:00:00,Practice 3,,1955-07-15 00:00:00,Qualifying,,1955-07-15 00:00:00,Race,,1955-07-16 00:00:00,False
7,Italy,Monza,,1955-09-11 00:00:00,Italian Grand Prix,conventional,Practice 1,,1955-09-09 00:00:00,Practice 2,,1955-09-09 00:00:00,Practice 3,,1955-09-10 00:00:00,Qualifying,,1955-09-10 00:00:00,Race,,1955-09-11 00:00:00,False
1,Argentina,Buenos Aires,,1956-01-22 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1956-01-20 00:00:00,Practice 2,,1956-01-20 00:00:00,Practice 3,,1956-01-21 00:00:00,Qualifying,,1956-01-21 00:00:00,Race,,1956-01-22 00:00:00,False
2,Monaco,Monte-Carlo,,1956-05-13 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1956-05-11 00:00:00,Practice 2,,1956-05-11 00:00:00,Practice 3,,1956-05-12 00:00:00,Qualifying,,1956-05-12 00:00:00,Race,,1956-05-13 00:00:00,False
3,USA,Indianapolis,,1956-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1956-05-28 00:00:00,Practice 2,,1956-05-28 00:00:00,Practice 3,,1956-05-29 00:00:00,Qualifying,,1956-05-29 00:00:00,Race,,1956-05-30 00:00:00,False
4,Belgium,Spa,,1956-06-03 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1956-06-01 00:00:00,Practice 2,,1956-06-01 00:00:00,Practice 3,,1956-06-02 00:00:00,Qualifying,,1956-06-02 00:00:00,Race,,1956-06-03 00:00:00,False
5,France,Reims,,1956-07-01 00:00:00,French Grand Prix,conventional,Practice 1,,1956-06-29 00:00:00,Practice 2,,1956-06-29 00:00:00,Practice 3,,1956-06-30 00:00:00,Qualifying,,1956-06-30 00:00:00,Race,,1956-07-01 00:00:00,False
6,UK,Silverstone,,1956-07-14 00:00:00,British Grand Prix,conventional,Practice 1,,1956-07-12 00:00:00,Practice 2,,1956-07-12 00:00:00,Practice 3,,1956-07-13 00:00:00,Qualifying,,1956-07-13 00:00:00,Race,,1956-07-14 00:00:00,False
7,Germany,Nürburg,,1956-08-05 00:00:00,German Grand Prix,conventional,Practice 1,,1956-08-03 00:00:00,Practice 2,,1956-08-03 00:00:00,Practice 3,,1956-08-04 00:00:00,Qualifying,,1956-08-04 00:00:00,Race,,1956-08-05 00:00:00,False
8,Italy,Monza,,1956-09-02 00:00:00,Italian Grand Prix,conventional,Practice 1,,1956-08-31 00:00:00,Practice 2,,1956-08-31 00:00:00,Practice 3,,1956-09-01 00:00:00,Qualifying,,1956-09-01 00:00:00,Race,,1956-09-02 00:00:00,False
1,Argentina,Buenos Aires,,1957-01-13 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1957-01-11 00:00:00,Practice 2,,1957-01-11 00:00:00,Practice 3,,1957-01-12 00:00:00,Qualifying,,1957-01-12 00:00:00,Race,,1957-01-13 00:00:00,False
2,Monaco,Monte-Carlo,,1957-05-19 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1957-05-17 00:00:00,Practice 2,,1957-05-17 00:00:00,Practice 3,,1957-05-18 00:00:00,Qualifying,,1957-05-18 00:00:00,Race,,1957-05-19 00:00:00,False
3,USA,Indianapolis,,1957-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1957-05-28 00:00:00,Practice 2,,1957-05-28 00:00:00,Practice 3,,1957-05-29 00:00:00,Qualifying,,1957-05-29 00:00:00,Race,,1957-05-30 00:00:00,False
4,France,Rouen,,1957-07-07 00:00:00,French Grand Prix,conventional,Practice 1,,1957-07-05 00:00:00,Practice 2,,1957-07-05 00:00:00,Practice 3,,1957-07-06 00:00:00,Qualifying,,1957-07-06 00:00:00,Race,,1957-07-07 00:00:00,False
5,UK,Liverpool,,1957-07-20 00:00:00,British Grand Prix,conventional,Practice 1,,1957-07-18 00:00:00,Practice 2,,1957-07-18 00:00:00,Practice 3,,1957-07-19 00:00:00,Qualifying,,1957-07-19 00:00:00,Race,,1957-07-20 00:00:00,False
6,Germany,Nürburg,,1957-08-04 00:00:00,German Grand Prix,conventional,Practice 1,,1957-08-02 00:00:00,Practice 2,,1957-08-02 00:00:00,Practice 3,,1957-08-03 00:00:00,Qualifying,,1957-08-03 00:00:00,Race,,1957-08-04 00:00:00,False
7,Italy,Pescara,,1957-08-18 00:00:00,Pescara Grand Prix,conventional,Practice 1,,1957-08-16 00:00:00,Practice 2,,1957-08-16 00:00:00,Practice 3,,1957-08-17 00:00:00,Qualifying,,1957-08-17 00:00:00,Race,,1957-08-18 00:00:00,False
8,Italy,Monza,,1957-09-08 00:00:00,Italian Grand Prix,conventional,Practice 1,,1957-09-06 00:00:00,Practice 2,,1957-09-06 00:00:00,Practice 3,,1957-09-07 00:00:00,Qualifying,,1957-09-07 00:00:00,Race,,1957-09-08 00:00:00,False
1,Argentina,Buenos Aires,,1958-01-19 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1958-01-17 00:00:00,Practice 2,,1958-01-17 00:00:00,Practice 3,,1958-01-18 00:00:00,Qualifying,,1958-01-18 00:00:00,Race,,1958-01-19 00:00:00,False
2,Monaco,Monte-Carlo,,1958-05-18 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1958-05-16 00:00:00,Practice 2,,1958-05-16 00:00:00,Practice 3,,1958-05-17 00:00:00,Qualifying,,1958-05-17 00:00:00,Race,,1958-05-18 00:00:00,False
3,Netherlands,Zandvoort,,1958-05-26 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1958-05-24 00:00:00,Practice 2,,1958-05-24 00:00:00,Practice 3,,1958-05-25 00:00:00,Qualifying,,1958-05-25 00:00:00,Race,,1958-05-26 00:00:00,False
4,USA,Indianapolis,,1958-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1958-05-28 00:00:00,Practice 2,,1958-05-28 00:00:00,Practice 3,,1958-05-29 00:00:00,Qualifying,,1958-05-29 00:00:00,Race,,1958-05-30 00:00:00,False
5,Belgium,Spa,,1958-06-15 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1958-06-13 00:00:00,Practice 2,,1958-06-13 00:00:00,Practice 3,,1958-06-14 00:00:00,Qualifying,,1958-06-14 00:00:00,Race,,1958-06-15 00:00:00,False
6,France,Reims,,1958-07-06 00:00:00,French Grand Prix,conventional,Practice 1,,1958-07-04 00:00:00,Practice 2,,1958-07-04 00:00:00,Practice 3,,1958-07-05 00:00:00,Qualifying,,1958-07-05 00:00:00,Race,,1958-07-06 00:00:00,False
7,UK,Silverstone,,1958-07-19 00:00:00,British Grand Prix,conventional,Practice 1,,1958-07-17 00:00:00,Practice 2,,1958-07-17 00:00:00,Practice 3,,1958-07-18 00:00:00,Qualifying,,1958-07-18 00:00:00,Race,,1958-07-19 00:00:00,False
8,Germany,Nürburg,,1958-08-03 00:00:00,German Grand Prix,conventional,Practice 1,,1958-08-01 00:00:00,Practice 2,,1958-08-01 00:00:00,Practice 3,,1958-08-02 00:00:00,Qualifying,,1958-08-02 00:00:00,Race,,1958-08-03 00:00:00,False
9,Portugal,Oporto,,1958-08-24 00:00:00,Portuguese Grand Prix,conventional,Practice 1,,1958-08-22 00:00:00,Practice 2,,1958-08-22 00:00:00,Practice 3,,1958-08-23 00:00:00,Qualifying,,1958-08-23 00:00:00,Race,,1958-08-24 00:00:00,False
10,Italy,Monza,,1958-09-07 00:00:00,Italian Grand Prix,conventional,Practice 1,,1958-09-05 00:00:00,Practice 2,,1958-09-05 00:00:00,Practice 3,,1958-09-06 00:00:00,Qualifying,,1958-09-06 00:00:00,Race,,1958-09-07 00:00:00,False
11,Morocco,Casablanca,,1958-10-19 00:00:00,Moroccan Grand Prix,conventional,Practice 1,,1958-10-17 00:00:00,Practice 2,,1958-10-17 00:00:00,Practice 3,,1958-10-18 00:00:00,Qualifying,,1958-10-18 00:00:00,Race,,1958-10-19 00:00:00,False
1,Monaco,Monte-Carlo,,1959-05-10 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1959-05-08 00:00:00,Practice 2,,1959-05-08 00:00:00,Practice 3,,1959-05-09 00:00:00,Qualifying,,1959-05-09 00:00:00,Race,,1959-05-10 00:00:00,False
2,USA,Indianapolis,,1959-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1959-05-28 00:00:00,Practice 2,,1959-05-28 00:00:00,Practice 3,,1959-05-29 00:00:00,Qualifying,,1959-05-29 00:00:00,Race,,1959-05-30 00:00:00,False
3,Netherlands,Zandvoort,,1959-05-31 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1959-05-29 00:00:00,Practice 2,,1959-05-29 00:00:00,Practice 3,,1959-05-30 00:00:00,Qualifying,,1959-05-30 00:00:00,Race,,1959-05-31 00:00:00,False
4,France,Reims,,1959-07-05 00:00:00,French Grand Prix,conventional,Practice 1,,1959-07-03 00:00:00,Practice 2,,1959-07-03 00:00:00,Practice 3,,1959-07-04 00:00:00,Qualifying,,1959-07-04 00:00:00,Race,,1959-07-05 00:00:00,False
5,UK,Liverpool,,1959-07-18 00:00:00,British Grand Prix,conventional,Practice 1,,1959-07-16 00:00:00,Practice 2,,1959-07-16 00:00:00,Practice 3,,1959-07-17 00:00:00,Qualifying,,1959-07-17 00:00:00,Race,,1959-07-18 00:00:00,False
6,Germany,Berlin,,1959-08-02 00:00:00,German Grand Prix,conventional,Practice 1,,1959-07-31 00:00:00,Practice 2,,1959-07-31 00:00:00,Practice 3,,1959-08-01 00:00:00,Qualifying,,1959-08-01 00:00:00,Race,,1959-08-02 00:00:00,False
7,Portugal,Lisbon,,1959-08-23 00:00:00,Portuguese Grand Prix,conventional,Practice 1,,1959-08-21 00:00:00,Practice 2,,1959-08-21 00:00:00,Practice 3,,1959-08-22 00:00:00,Qualifying,,1959-08-22 00:00:00,Race,,1959-08-23 00:00:00,False
8,Italy,Monza,,1959-09-13 00:00:00,Italian Grand Prix,conventional,Practice 1,,1959-09-11 00:00:00,Practice 2,,1959-09-11 00:00:00,Practice 3,,1959-09-12 00:00:00,Qualifying,,1959-09-12 00:00:00,Race,,1959-09-13 00:00:00,False
9,USA,Florida,,1959-12-12 00:00:00,United States Grand Prix,conventional,Practice 1,,1959-12-10 00:00:00,Practice 2,,1959-12-10 00:00:00,Practice 3,,1959-12-11 00:00:00,Qualifying,,1959-12-11 00:00:00,Race,,1959-12-12 00:00:00,False
1,Argentina,Buenos Aires,,1960-02-07 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1960-02-05 00:00:00,Practice 2,,1960-02-05 00:00:00,Practice 3,,1960-02-06 00:00:00,Qualifying,,1960-02-06 00:00:00,Race,,1960-02-07 00:00:00,False
